                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4133,                 1.9378,                  1.211,                0.73764,                0.75088,                0.80836,                0.46271,                 1.3832,                 1.5127,                 1.2309,             0.00055403,             0.00055403,             0.00055403
                      1,                 1.4904,                 1.3404,                 1.2574,                0.85459,                0.73951,                0.81016,                0.45314,                 1.4759,                 1.1557,                 1.2736,              0.0010987,              0.0010987,              0.0010987
                      2,                 1.5149,                 1.2314,                 1.2703,                0.83652,                0.78908,                 0.8237,                0.47357,                 1.4158,                    1.1,                 1.2529,              0.0016324,              0.0016324,              0.0016324
                      3,                 1.4841,                 1.1816,                  1.254,                0.88434,                0.79281,                0.84077,                0.47138,                 1.4482,                0.98289,                 1.2631,              0.0016175,              0.0016175,              0.0016175
                      4,                 1.4497,                 1.1144,                 1.2393,                0.89307,                0.77256,                0.82964,                0.48446,                 1.4236,                 1.0085,                 1.2535,              0.0016175,              0.0016175,              0.0016175
                      5,                 1.4244,                 1.0696,                 1.2208,                0.90848,                0.79479,                0.85166,                0.50938,                 1.3736,                0.89593,                 1.2252,               0.001601,               0.001601,               0.001601
                      6,                  1.393,                 1.0365,                 1.2054,                0.88039,                 0.8102,                0.85154,                0.50971,                 1.3251,                0.89324,                 1.1918,              0.0015845,              0.0015845,              0.0015845
                      7,                 1.3795,                 1.0151,                 1.1979,                  0.931,                0.83485,                0.88036,                0.54175,                 1.2588,                0.85569,                 1.1594,               0.001568,               0.001568,               0.001568
                      8,                 1.3507,                0.96606,                 1.1825,                 0.9138,                0.83167,                0.86922,                0.53604,                  1.266,                0.83409,                 1.1706,              0.0015515,              0.0015515,              0.0015515
                      9,                 1.3184,                0.94052,                  1.172,                0.92581,                0.83839,                0.87988,                0.54122,                 1.2683,                0.81506,                 1.1781,               0.001535,               0.001535,               0.001535
                     10,                 1.3214,                0.93808,                 1.1741,                0.91211,                0.84709,                0.88621,                0.55374,                 1.2443,                0.80359,                  1.151,              0.0015185,              0.0015185,              0.0015185
                     11,                 1.3083,                0.92759,                 1.1671,                0.92232,                0.83831,                0.87819,                0.55329,                 1.2359,                0.78321,                 1.1426,               0.001502,               0.001502,               0.001502
                     12,                 1.2935,                0.90687,                 1.1608,                0.92694,                0.83173,                0.87605,                0.54907,                 1.2346,                0.76495,                 1.1376,              0.0014855,              0.0014855,              0.0014855
